pcmap0,pcmap1,pcmap2,pcmap3,pcmap4,pcmap5,pcmap6,pcmap7,pcmap8,pcmap9,pcmap10,pcmap11,y,Label,FileName
-8.657805,-8.791407,-0.6428116,0.43829513,4.5226593,-0.54201967,-0.69667804,-0.34094068,0.4857032,2.095657,0.10566844,-0.7713329,3.0,pituitary,Te-pi_0142.jpg
-8.730194,-8.56525,-0.8596148,0.16145097,5.5256114,-0.5128647,-1.073207,-0.17175065,0.5457943,2.2963746,0.09371919,-0.986953,3.0,pituitary,Tr-pi_1391.jpg
-8.638635,-8.950911,-0.6500111,0.5744516,4.2318015,-0.5683888,-0.58527046,-0.38894206,0.46255916,2.0585892,0.12382693,-0.72546375,3.0,pituitary,Tr-pi_1427.jpg
-3.569674,-10.378603,-1.3954773,2.3215802,-4.3644147,-0.6643938,2.4783468,-0.88412464,-0.4881805,-0.2429387,0.67008597,0.30807328,3.0,pituitary,Tr-pi_0173.jpg
2.7116008,8.407936,1.5013092,4.049042,-0.82413185,-1.0339172,-1.463852,-0.3310446,-0.2640638,2.089503,-0.13783774,0.12029276,3.0,pituitary,Tr-pi_1114.jpg
5.6375675,-14.432219,6.904926,-4.8347416,-1.2831538,2.0735593,1.1041784,-1.0068709,1.7449461,-2.5914943,-0.51897806,0.59326637,3.0,pituitary,Tr-pi_1245.jpg
4.2364154,-13.683749,6.539613,-4.7244973,-1.1225482,1.9087998,0.8506182,-0.97912705,1.5590814,-2.4959126,-0.5129318,0.44472718,3.0,pituitary,Te-pi_0203.jpg
-3.4759185,-10.432422,-1.3822148,2.268203,-4.3163276,-0.6409938,2.4691474,-0.8841453,-0.4666287,-0.25470462,0.6704241,0.29463857,3.0,pituitary,Te-piTr_0004.jpg
1.3392586,-12.4775095,4.900042,-3.716023,-2.0412397,1.4238136,1.524367,-0.69429547,0.88641876,-2.3868246,-0.42723614,0.78287786,3.0,pituitary,Tr-pi_0677.jpg
-2.0066698,-11.315421,-1.6914192,1.7357218,-3.614242,-0.3541253,2.3948014,-0.90171915,-0.16876087,-0.32130694,0.78159666,-0.015317207,3.0,pituitary,Tr-pi_0666.jpg
-8.822198,-9.2981825,-0.7996564,0.6439581,4.801133,-0.5873428,-0.7273947,-0.42025372,0.58014196,2.2747374,0.1476869,-0.8458301,3.0,pituitary,Te-pi_0100.jpg
0.76634634,-12.298557,4.420078,-3.3623188,-2.1418805,1.2788913,1.5687739,-0.6847741,0.7714162,-2.2723858,-0.3654281,0.7437061,3.0,pituitary,Tr-pi_0319.jpg
-1.9940627,-11.321862,-1.7210847,1.7395308,-3.5962045,-0.35385323,2.3928275,-0.9014761,-0.16616128,-0.313751,0.7874601,-0.025919879,3.0,pituitary,Tr-pi_0649.jpg
0.964696,-12.235698,4.697138,-3.5629027,-1.4624603,1.3088078,1.0445737,-0.7878162,0.9516336,-2.1240816,-0.36784258,0.43368286,3.0,pituitary,Te-pi_0107.jpg
-7.991777,-9.180523,-0.42386273,-1.0654758,7.4679346,-0.07679223,-1.4967278,-0.13924858,1.069035,2.3165948,-0.0024914595,-1.2580823,3.0,pituitary,Tr-pi_0868.jpg
1.5475907,-12.661662,4.6598196,-3.4449985,-2.0196657,1.3604656,1.5362229,-0.7367793,0.92166555,-2.2605221,-0.36055797,0.71111786,3.0,pituitary,Tr-pi_0433.jpg
4.9617476,-14.086588,6.646401,-4.7048154,-1.2288556,1.9740875,1.0001341,-0.99630284,1.6467557,-2.5213199,-0.49996448,0.519249,3.0,pituitary,Te-pi_0067.jpg
4.211619,-13.643049,6.637935,-4.8191857,-1.0453056,1.9289535,0.7770517,-0.98564565,1.5747949,-2.5104353,-0.5290113,0.4169253,3.0,pituitary,Tr-pi_0770.jpg
5.598124,-14.394641,6.9387403,-4.8719997,-1.2378324,2.078319,1.0566584,-1.0119919,1.7490739,-2.5921142,-0.52453035,0.57167006,3.0,pituitary,Tr-pi_0686.jpg
1.4505391,-12.374223,5.0201178,-3.7796175,-1.4821829,1.4238119,0.99597645,-0.83009475,1.010424,-2.2080746,-0.39035723,0.4354615,3.0,pituitary,Tr-pi_0481.jpg
5.5121665,-14.353371,6.9019737,-4.8504915,-1.2413905,2.0648432,1.0526884,-1.0094186,1.7342733,-2.5839863,-0.5218678,0.5670133,3.0,pituitary,Tr-pi_0422.jpg
-8.338057,-8.941175,-0.63286287,-0.7522372,7.1934657,-0.22156622,-1.4998168,-0.07976724,0.9046395,2.3889062,0.019264314,-1.2415007,3.0,pituitary,Tr-pi_0873.jpg
-0.30372584,6.5784707,-0.71735924,1.352407,-0.26441017,-0.51183283,-0.631898,0.15517662,-0.35560143,0.7784263,0.03615215,0.121191405,3.0,pituitary,Tr-pi_0515.jpg
0.72821736,-12.329515,3.6027734,-2.570066,-2.235492,1.0450925,1.7793822,-0.68153185,0.7255919,-1.9301497,-0.21505956,0.7081433,3.0,pituitary,Tr-pi_0808.jpg
-2.053866,-11.236189,-2.3056612,1.9808096,-3.4233823,-0.42406046,2.3838785,-0.89503956,-0.18790604,-0.13730213,0.893552,-0.17542109,3.0,pituitary,Tr-pi_0169.jpg
3.4035635,-13.36836,5.824314,-4.201617,-1.1832619,1.6876549,0.86925954,-0.9661826,1.4054617,-2.304839,-0.4201864,0.36717057,3.0,pituitary,Te-pi_0233.jpg
-8.6958,-8.976413,-0.64053714,0.66726613,4.127359,-0.58940494,-0.54526997,-0.42531082,0.4614086,2.0715272,0.12901855,-0.701382,3.0,pituitary,Tr-pi_1428.jpg
5.4220004,9.478286,3.069059,5.468349,-1.0974362,-1.2260728,-1.9842931,-0.65067583,-0.14168046,2.796627,-0.25205117,0.06485313,3.0,pituitary,Tr-pi_1028.jpg
0.707373,7.3898425,0.55063874,2.5170105,-0.4200154,-0.7513944,-0.9621436,-0.056403115,-0.37901792,1.4106965,-0.08419824,0.05445871,3.0,pituitary,Tr-pi_1111.jpg
5.7852483,9.179627,3.0630133,5.008311,-0.91441375,-1.081518,-1.812419,-0.58255553,-0.105276026,2.5605562,-0.2565687,-0.017640999,3.0,pituitary,Tr-pi_1034.jpg
3.9991605,-13.558781,6.475108,-4.703686,-1.0937599,1.8800662,0.807953,-0.97436225,1.5281153,-2.4790046,-0.51150686,0.41938755,3.0,pituitary,Tr-pi_0726.jpg
5.6942973,-14.45564,6.940664,-4.8588347,-1.274478,2.0849216,1.1004725,-1.0094095,1.7562681,-2.5986097,-0.522521,0.594255,3.0,pituitary,Tr-pi_1154.jpg
-2.298308,-10.843233,-1.1593678,1.1915002,-2.9650767,-0.24121614,2.084832,-0.80141586,-0.10226185,-0.32119685,0.6349742,-0.0051526637,3.0,pituitary,Tr-pi_0392.jpg
3.2937434,-13.320943,5.913406,-4.3063245,-1.2510866,1.7097461,0.9530502,-0.920316,1.381137,-2.3744934,-0.4570823,0.45195073,3.0,pituitary,Tr-pi_0536.jpg
3.5838265,9.657438,2.3465567,4.8135185,-1.0157297,-1.1731516,-1.749707,-0.49348375,-0.31947175,2.5393531,-0.20663373,0.06580487,3.0,pituitary,Tr-pi_0711.jpg
11.777358,4.807818,-3.0608413,-0.1575336,-0.62790763,0.6172767,-0.31102723,0.22870202,1.2561082,-1.24998,0.5595085,0.27795216,3.0,pituitary,Tr-pi_0916.jpg
-4.3512235,-9.613133,-1.2834511,2.2436116,-3.958694,-0.72245294,2.2472053,-0.790922,-0.55391717,-0.09118435,0.5904399,0.31696177,3.0,pituitary,Tr-pi_0531.jpg
-4.2049747,-9.897804,-1.3826705,2.4765508,-4.389476,-0.76880527,2.4230928,-0.84918976,-0.5898461,-0.14803182,0.6352235,0.36445025,3.0,pituitary,Tr-pi_0147.jpg
4.184486,-13.646457,6.5666327,-4.7578697,-1.089834,1.9116684,0.8163841,-0.9804412,1.5593021,-2.4992223,-0.51916313,0.4303461,3.0,pituitary,Tr-pi_0771.jpg
1.1095289,7.928209,-0.122736126,1.6724938,-0.32778502,-0.49842852,-0.697869,0.09228849,-0.37535417,0.9186372,-0.0056171627,-0.021483818,3.0,pituitary,Tr-pi_1067.jpg
-4.357188,-9.7715225,-1.3959955,2.5158963,-4.382282,-0.79438704,2.406345,-0.83922863,-0.614144,-0.11955366,0.62936884,0.37225613,3.0,pituitary,Tr-pi_0344.jpg
5.3796315,-14.304816,6.781722,-4.7623224,-1.2732538,2.0299406,1.0744008,-1.0022808,1.7043511,-2.5586004,-0.50745034,0.5668086,3.0,pituitary,Tr-pi_0748.jpg
0.38497698,-12.077988,4.387601,-3.3942952,-1.9096013,1.2395986,1.3613989,-0.69817483,0.7656672,-2.213828,-0.36888576,0.6260224,3.0,pituitary,Tr-pi_1278.jpg
5.4490166,-14.318584,6.88651,-4.846858,-1.232196,2.0575252,1.0385326,-1.0084805,1.7262695,-2.5800145,-0.52159023,0.5594721,3.0,pituitary,Tr-pi_0443.jpg
3.5353007,-13.395274,6.0199876,-4.3583384,-1.3072972,1.7548032,0.96449095,-0.9395343,1.3979667,-2.4012094,-0.45836768,0.462683,3.0,pituitary,Tr-pi_1228.jpg
5.0408263,-14.1229315,6.6809397,-4.7240825,-1.2147473,1.9859998,0.9919673,-1.0015417,1.6623497,-2.524811,-0.50133604,0.51624465,3.0,pituitary,Tr-pi_1164.jpg
-8.809372,-9.225754,-0.7251951,0.6943495,4.4858236,-0.5976495,-0.6335023,-0.4400326,0.533314,2.1976616,0.14192681,-0.7760295,3.0,pituitary,Te-pi_0285.jpg
2.2453837,-13.161002,4.466945,-3.144258,-2.209824,1.3400642,1.8189048,-0.74471086,0.991539,-2.194917,-0.29989138,0.7995827,3.0,pituitary,Te-pi_0230.jpg
1.1551043,-12.349081,4.7559295,-3.5882015,-1.5264952,1.3376979,1.0899825,-0.7952585,0.9682679,-2.1560743,-0.36944118,0.46008664,3.0,pituitary,Tr-pi_1272.jpg
4.1648393,8.261378,1.7280889,3.8691695,-0.71758294,-0.8888002,-1.3833767,-0.32731605,-0.13880837,1.9230906,-0.1472504,0.030871402,3.0,pituitary,Te-pi_0032.jpg
0.46747193,-12.097309,4.4387565,-3.4233932,-1.7962633,1.2481563,1.277437,-0.71875656,0.80303794,-2.1866531,-0.36710605,0.57362396,3.0,pituitary,Tr-piTr_0009.jpg
11.740451,4.696205,-2.954353,-0.2711873,-0.8277224,0.51456773,-0.47754747,0.19367045,1.2810491,-1.1736826,0.5658284,0.34805068,3.0,pituitary,Tr-pi_0704.jpg
-8.69133,-8.582996,-0.81854934,-0.18609722,6.2607,-0.42424417,-1.2997988,-0.09350447,0.6536895,2.3703203,0.05980205,-1.1054716,3.0,pituitary,Tr-pi_1286.jpg
-4.0977473,-9.808999,-1.2618223,2.1744728,-3.968935,-0.67918205,2.2730203,-0.8058003,-0.51494914,-0.13982807,0.59971327,0.3032387,3.0,pituitary,Tr-pi_0024.jpg
1.6048027,-12.835595,4.369707,-3.1655822,-2.0766304,1.2796236,1.6837,-0.722361,0.9286487,-2.1707418,-0.31449786,0.7368079,3.0,pituitary,Te-pi_0118.jpg
3.196406,8.792522,1.8108355,4.4806314,-0.9451915,-1.1174204,-1.6206446,-0.41547337,-0.25178462,2.3033617,-0.15742926,0.13327107,3.0,pituitary,Tr-pi_0712.jpg
